PREFERRED_NAME,MoleculeID,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,LogD55_pred,LogD74_pred,LogOH_pred,LogKoc_pred,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz,MolWeight,LogBCF_pred,BioDeg_LogHalfLife_pred,ReadyBiodeg_pred,LogKM_pred,FUB_pred,Clint_pred
1-Methylnaphthalene,DTXSID9020877,3.95581313085976,9.41262630603634,246.407990686139,-1.52276563960149,-3.85015668556622,-3.28734838381958,14.4959738774274,5.83064114878761,3.95581313085976,3.95581313085976,-10.3579457702743,3.28891895759149,21,11,11,0,0,10,2,0,0.090909090909091,0,0,0,1,0,5.5021,0.895,142.07825032,1.84678278018091,1.05146411417069,0,0.611977578460671,0.024186226072631,1.15807036304787
1-Nitropropane,DTXSID1020980,0.900841642943867,-93.2180683245073,129.85547876779,1.00508036332275,-0.696261137762426,-4.21210999662812,0,2.55367371138662,0.900841642943867,0.900841642943867,-12.2725680674689,1.33221823431865,13,6,3,2,1,0,0,0,1,2,0,0,0,43.14,17.2257,0.572,89.047678464,0.808912098818187,0.649251321997908,1,-1.10629128947385,0.962071349684938,1.04482335976839
1-Octene,DTXSID6025804,4.5454936514637,-109.205362692276,120.228445577197,1.17316690082732,-4.40690584213508,-0.907425649884541,11.3326325845685,3.48052289838461,4.5454936514637,4.5454936514637,-10.4431094068347,2.29937561045224,24,8,8,0,0,0,0,0,0.75,5,0,0,0,0,32.1441,0.167,112.125200512,2.64183520587595,0.642785556600112,0,0.456023429417881,0.197630183649252,-0.111062539004313
1-Pentene,DTXSID7025849,2.83055512660902,-144.379993540328,31.1944739934909,2.70270135188808,-2.63282526797935,-0.679482059950183,1.82985755912221,2.251231744007,2.83055512660902,2.83055512660902,-10.4863995978383,1.33564083404441,15,5,5,0,0,0,0,0,0.6,2,0,0,0,0,23.4093,0.167,70.07825032,0.961790306903171,0.761523964066559,0,-0.419329613446948,0.405263193849633,1.09308571601252
1-Tridecanol,DTXSID2021947,4.88360276956044,31.0428707371177,264.110761834692,-3.40804714657133,-5.34250769807675,-4.6840634798078,25.5799429185603,8.8075827245678,4.88360256322096,4.88358637973807,-10.5215957743846,3.24201126045384,42,14,13,1,0,0,0,0,1,11,1,1,2,20.23,45.2031,0.449,200.214015516,3.18220626600651,0.896927763680979,1,-0.261977004276706,0.10716618123205,0.91462042841597
2-(2-Ethoxyethoxy)ethyl prop-2-enoate,DTXSID6044983,0.852145209129961,-25.8334317013902,220.359223070314,-1.32330593270756,-0.605747919130423,-4.91267462988812,6.94676369402225,5.09102957447504,0.852145209129961,0.852145209129961,-10.5788136589438,1.36559726589987,29,13,9,4,0,0,0,0,0.666666666666667,9,4,0,0,44.76,48.4413,0.968,188.104858992,0.301746119094382,0.632362348627948,1,-0.552199526776855,0.748119555071259,0.785468441582473
"2,2,2-Trifluoroethanol",DTXSID0021751,0.374011258705962,-38.9107348747167,77.4611191878376,1.78127130223053,0.878066999023888,-4.83383254227584,0,2.65364900331108,0.37392883391689,0.367512274030406,-13.2248430094388,1.12209031104099,9,6,2,1,0,0,0,0,1,1,1,1,0,20.23,13.7114,0.319,100.013599376,0.559943364602908,0.662323563591066,1,-0.935040017433338,0.953911939710656,1.1355197649852
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",DTXSID1027635,4.77747368715947,-29.7804444406755,297.982820783766,-2.32298533702773,-3.34088311704042,-6.96568993841837,18.0522012697087,7.43854441955259,4.77747368715947,4.77747368715947,-10.9234669914052,2.81368534577011,50,20,16,4,0,0,0,0,0.875,9,4,0,0,52.6,78.7592,0.754,286.214409440001,1.5078056666974,0.753050409577056,0,-0.57297029399463,0.147390898078456,1.25476986033281
Ninhydrin,DTXSID7025716,0.693295464073993,182.738827146481,285.461223238583,-6.2065647775692,-0.270673034982404,-9.36710625352518,3.72754295480631,7.84160172240956,-5.46847056207568,-7.36847026660372,-11.4851888543245,1.78397463785453,19,13,9,4,0,6,2,0,0.111111111111111,0,4,2,0,74.6,18.1218,1.806,178.026608672,0.319701675034921,0.959904895095295,1,-0.987186682151244,0.486232836104699,-0.763005064103377
"2,3,7,8-Tetrachlorodibenzofuran",DTXSID3052147,6.42527882531499,207.601498117364,347.544595246219,-7.68760803047626,-8.54016173989276,-4.62795357254195,20.0609650142936,9.42630061613727,6.4252769700577,6.4251314816725,-12.0190290680251,5.63561424030021,21,17,12,1,0,13,3,1,0,0,0,0,0,13.14,24.0815,1.607,303.901625468,3.4500035004351,1.08099351313853,0,0.646639304078631,0.055834070685957,1.40785410372473
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,6.69714923725406,247.089663012052,385.051946875862,-8.49028330375288,-9.00411851807213,-5.04835035235873,21.1145351924957,9.72546788232276,6.69714923725406,6.69714923725406,-11.6833119714389,6.40612482128676,22,18,12,2,0,12,3,1,0,0,0,0,0,18.46,25.7006,2.419,319.896540088,4.48389563058215,1.16784072251527,0,1.69164044954958,0.016626561681735,-3.00898439984837
"2,3-Benzofuran",DTXSID6020141,2.71427343370054,27.3439111876169,180.475834566733,-0.511611010531644,-1.7343791302906,-5.0755434000382,5.69596759446971,4.46811792324534,2.7142725561842,2.71420373562235,-10.4005655044049,2.33101887635718,15,9,8,1,0,9,2,1,0,0,0,0,0,13.14,1.6191,0.819,118.041864812,1.00946540492001,0.892334242815306,0,-0.932078471208716,0.259229383042,1.0485558806261
"2,3-Dimethylbutane",DTXSID9025112,3.49154953099841,-120.368192618099,57.1547434964159,2.47634025893122,-3.58283267220578,-0.353897665814474,9.07362813181618,2.60598668858975,3.49154953099841,3.49154953099841,-11.2955401690632,1.98116486688272,20,6,6,0,0,0,0,0,1,1,0,0,0,0,28.5356,0.049,86.109550448,1.8430452991256,1.12862283164638,1,-0.316781591536121,0.451463090761895,1.07316312049594
"2,3-Pentanedione",DTXSID6051435,-0.098807469491555,-14.9612910215827,126.433528004208,0.499880292839574,0.376381091006604,-5.76062405430686,0.15690350479078,4.01358638520261,-0.098807469491555,-0.098807469491555,-11.7739265960322,1.19355454928529,15,7,5,2,0,0,0,0,0.6,2,2,0,0,34.14,26.5643,1.069,100.052429496,0.30174206759519,0.647756694968582,1,-1.1593280619913,0.859037064562428,1.12586523219725
"2,4,5-Trichlorophenoxyacetic acid",DTXSID5021388,3.30284019015594,152.652017537693,314.387964020566,-4.9064943773601,-2.92092056671624,-8.52160520004774,9.20753453348937,9.06022511823662,-0.152880768550336,-2.0527305801838,-11.0742583740773,1.95461753016766,19,14,8,3,0,6,1,0,0.125,3,2,1,0,46.53,30.2472,1.289,253.93042706,0.492574744999103,0.549751777518539,0,-0.566839559527181,0.147535726100189,-3.38131851465179
"2,4,6-Trinitrotoluene",DTXSID7024372,1.55519906142123,99.1492803265859,304.435460793921,-5.00002056344245,-3.22418917661689,-6.30221226097699,7.07776996628621,5.98294053308641,1.55519906142123,1.55519906142123,-12.0639379999753,2.62654872948481,21,16,7,6,3,6,1,0,0.142857142857143,3,0,0,0,129.42,17.1721,1.009,227.01783488,0.972288528912203,0.689434655864587,0,-0.328245058930992,0.057876703057639,-4.98509866707846
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,2.77228324351111,142.264128858956,300.487007565105,-6.3772709135499,-2.58679107497939,-8.52669929000754,5.71506143894734,8.64934329493328,-0.308640910844233,-2.2082848403156,-11.0701321325281,1.82438412043442,19,13,8,3,0,6,1,0,0.125,3,2,1,0,46.53,24.6316,1.237,219.969399412,0.523648128331801,0.549623942220402,0,-0.669144595734753,0.058043913764774,-6.9460657111532
"2,4-D dimethylamine salt",DTXSID0024896,2.77228324351111,89.8232290421458,300.487007565105,-6.3772709135499,-2.58679107497939,-8.52669929000754,5.71506143894734,8.64934329493328,-0.308640910844233,-2.2082848403156,-11.0701321325281,1.82438412043442,19,13,8,3,0,6,1,0,0.125,3,2,1,0,46.53,24.6316,1.237,219.969399412,0.523648128331801,0.549623942220402,0,-0.669144595734753,0.058043913764774,-6.9460657111532
"2,4-D 2-ethyl-4-methylpentyl ester",DTXSID2034679,5.60643823375841,-0.931046365683315,318.075859266159,-5.44790483323279,-5.45708638306763,-7.42472671488068,25.1560357181296,9.71364657487612,5.60643823375841,5.60643823375841,-10.7096847212808,3.36597342753787,43,21,16,3,0,6,1,0,0.5625,9,2,0,1,35.53,59.1625,1.276,332.094599924001,2.79514056439234,0.648459261055856,1,0.062517131644293,0.040598771743173,1.66619234221532
"2,4-Dichlorophenol",DTXSID1020439,3.04304060670177,53.7500271067461,211.81477574213,-1.10478834893314,-1.62367076541042,-5.87642318852843,7.43150019717057,6.31287982710033,3.04152118675861,2.93637728294284,-11.7870195156502,2.90873460170326,13,9,6,1,0,6,1,0,0,0,0,1,0,20.23,13.7958,0.94,161.963920108,1.2608870944002,0.604858631346136,0,-0.934209920491607,0.231512509693744,1.2649830258057
"1-Chloro-2,4-dinitrobenzene",DTXSID6020278,2.11734340771468,64.2707188743338,311.225030596171,-3.95938950364923,-3.72404497648499,-6.60888356094591,8.52562134830777,5.5066713327431,2.11734340771468,2.11734340771468,-12.0601294582905,2.43216247002885,16,13,6,4,2,6,1,0,0,2,0,0,0,86.28,13.3956,1.009,201.978134256,1.70256734590059,0.611019084009151,0,0.628016613327135,0.03245265234136,1.27649993981103
"2,4-Dinitrophenylhydrazine",DTXSID2059485,1.51010392477474,191.69912486759,342.673219512396,-8.01761687674753,-2.31442731209099,-7.41567568140269,5.56880580615332,7.83966528392279,1.51010014529329,1.51010387719368,-11.9907219207433,1.90283437541114,20,14,6,4,4,6,1,0,0,3,2,2,0,124.33,16.3641,1.098,198.038904672,0.76683645967062,0.667477438774814,0,-0.189794123234901,0.278380037776567,-0.537347443219343
